시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250813,1101.00,차수수밥 <br/>돼지고기당면찌개 (5.6.9.10)<br/>갈릭마요미트볼 (1.2.5.6.10.12.13.15.16)<br/>미나리콩나물무침 (5)<br/>총각김치 (9)<br/>오렌지쥬스 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1149.7 Kcal,탄수화물(g) : 152.8<br/>단백질(g) : 32.5<br/>지방(g) : 44.3<br/>비타민A(R.E) : 194.4<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 82.7<br/>칼슘(mg) : 181.7<br/>철분(mg) : 4.5,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250814,1101.00,잡곡밥 (5)<br/>홍합살미역국 (18)<br/>한식잡채 (10.13)<br/>안동찜닭 (2.5.6.13.15)<br/>배추김치 (9)<br/>리얼치즈미니롤케익 (1.2.5.6),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,903.0 Kcal,탄수화물(g) : 120.1<br/>단백질(g) : 41.7<br/>지방(g) : 26.6<br/>비타민A(R.E) : 157.9<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 17.8<br/>칼슘(mg) : 181.0<br/>철분(mg) : 5.4,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250818,1101.00,찰보리밥 <br/>두부호박된장찌개 (5.6)<br/>수육&쌈장(상추) (5.6.10.13)<br/>소면야채무침 (5.6.13)<br/>보쌈김치 (9)<br/>장액티브요구르트 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1099.1 Kcal,탄수화물(g) : 163.6<br/>단백질(g) : 59.1<br/>지방(g) : 20.2<br/>비타민A(R.E) : 182.3<br/>티아민(mg) : 1.4<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 13.5<br/>칼슘(mg) : 193.5<br/>철분(mg) : 4.9,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250819,1101.00,귀리밥 <br/>뽕따소다 아이스크림 (1.2.5)<br/>해물순두부찌개 (5.6.9.17.18)<br/>비름나물무침 (5.6.13.18)<br/>콘치즈직화떡갈비 (1.2.5.6.10.15.16.18)<br/>배추김치 (9),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1047.7 Kcal,탄수화물(g) : 120.9<br/>단백질(g) : 38.3<br/>지방(g) : 46.0<br/>비타민A(R.E) : 308.2<br/>티아민(mg) : 1.6<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 15.8<br/>칼슘(mg) : 380.1<br/>철분(mg) : 5.6,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250820,1101.00,한그릇짜장면 (2.5.6.10.13.16.18)<br/>콩나물김치국 (1.5.6.9)<br/>단무지유자무침 (13)<br/>후라이드닭다리 (5.6.13.15)<br/>오이김치 (9)<br/>오라떼 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1094.1 Kcal,탄수화물(g) : 125.0<br/>단백질(g) : 65.7<br/>지방(g) : 36.8<br/>비타민A(R.E) : 168.4<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 22.1<br/>칼슘(mg) : 242.0<br/>철분(mg) : 4.5,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250821,1101.00,차수수밥 <br/>우거지등뼈감자탕 (5.6.9.10.12.13.16.18)<br/>사과오이무침 <br/>함박스테이크&소스 (1.2.5.6.10.12.13.15.16)<br/>무말랭이김치 <br/>농후발효유런 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,940.1 Kcal,탄수화물(g) : 148.6<br/>단백질(g) : 34.5<br/>지방(g) : 21.7<br/>비타민A(R.E) : 146.7<br/>티아민(mg) : 2.2<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 10.7<br/>칼슘(mg) : 190.4<br/>철분(mg) : 3.9,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250822,1101.00,찰흑미밥 <br/>황태콩나물해장국 (5.6.9.17)<br/>고추장오리불고기 (5.6.13)<br/>소떡갈떡구이 (5.6.10.15.16)<br/>열무김치 (9)<br/>수박 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1020.4 Kcal,탄수화물(g) : 105.5<br/>단백질(g) : 41.6<br/>지방(g) : 45.5<br/>비타민A(R.E) : 149.1<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 6.7<br/>칼슘(mg) : 199.8<br/>철분(mg) : 4.5,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250825,1101.00,가바찰현미밥 <br/>대파닭개장 (5.6.12.13.15.16.18)<br/>화이트어니언생선까스 (1.5.6.13)<br/>오이김치 (9)<br/>바나나 <br/>돌김자반 (5),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,832.5 Kcal,탄수화물(g) : 112.1<br/>단백질(g) : 36.1<br/>지방(g) : 25.5<br/>비타민A(R.E) : 100.9<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 11.7<br/>칼슘(mg) : 149.0<br/>철분(mg) : 3.2,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250826,1101.00,기장밥 <br/>얼큰아귀매운탕 (5.6.13.17)<br/>양배추어묵볶음 (1.5.6.13)<br/>파채간장불고기 (5.6.10.13)<br/>배추김치 (9)<br/>피자한조각&핫소스 (1.2.5.6.10.12.13.15.16.18),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1100.7 Kcal,탄수화물(g) : 139.2<br/>단백질(g) : 72.4<br/>지방(g) : 26.0<br/>비타민A(R.E) : 126.4<br/>티아민(mg) : 1.5<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 26.6<br/>칼슘(mg) : 372.1<br/>철분(mg) : 5.1,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250827,1101.00,나물비빔밥&달걀후라이 (1.5.6.13.16)<br/>유부팽이버섯장국 (5.6)<br/>고등어엿장구이 (5.6.7.13)<br/>청포묵김가루무침 (5.6.16)<br/>총각김치 (9)<br/>바나나우유 (2),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1020.6 Kcal,탄수화물(g) : 130.2<br/>단백질(g) : 53.0<br/>지방(g) : 30.0<br/>비타민A(R.E) : 281.2<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 1.3<br/>비타민C(mg) : 14.8<br/>칼슘(mg) : 452.1<br/>철분(mg) : 6.5,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250828,1101.00,차조밥 <br/>유부우동국(면) (1.2.5.6.7.9.13.18)<br/>양배추&콘샐러드 (1.5.12)<br/>배추김치 (9)<br/>리얼통살지파이 (1.2.5.6.15.18)<br/>유기농식혜 ,쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,887.3 Kcal,탄수화물(g) : 115.8<br/>단백질(g) : 31.6<br/>지방(g) : 32.4<br/>비타민A(R.E) : 21.7<br/>티아민(mg) : 0.2<br/>리보플라빈(mg) : 0.2<br/>비타민C(mg) : 17.2<br/>칼슘(mg) : 455.8<br/>철분(mg) : 3.1,20250807
G10,대전광역시교육청,7430048,대전대신고등학교,2,중식,20250829,1101.00,율무밥 <br/>짜글이김치찌개 (5.6.9.10)<br/>순대야채볶음 (2.5.6.10.12.13.16.18)<br/>야채달걀말이 (1.2.5.6.10.15.16)<br/>무말랭이김치 <br/>골드키위 (13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,997.4 Kcal,탄수화물(g) : 156.4<br/>단백질(g) : 40.9<br/>지방(g) : 22.4<br/>비타민A(R.E) : 254.8<br/>티아민(mg) : 0.8<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 177.3<br/>칼슘(mg) : 208.5<br/>철분(mg) : 8.2,20250807

